;;;;;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;GRASP.R.C.L;GRASP.I.W.I;GRASP.LocalSearch;MaxReconstruction;MinDiff;DestructionPercent;LocalSearch;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.3;BN + Relocation;50.0;845.2314786229517;24.0;836.2005357274763;22.0;785.4422316141977;19.0;775.522308520257;30.0;779.6384096841201;27.0;762.6310878829369;69.0;1719.3000357143433;56.0;1679.7905472719808;57.0;1445.2255733088032;47.0;1415.2177147826976;114.0;2004.8805877422249;94.0;1977.8066029862714;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.3;BN + Interroute;16.0;836.6780850903597;12.0;796.2784429570177;31.0;774.6337744444013;23.0;762.7082286531111;46.0;777.1263610215798;37.0;755.4365650197368;58.0;1716.831437008111;44.0;1669.7235354932268;73.0;1445.2064614356136;44.0;1392.3330109172948;169.0;1994.0109638596398;87.0;1960.934574678768;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.3;BN + IntrarouteSwap;24.0;836.6999325089275;9.0;831.0185746147715;73.0;781.6410971738278;20.0;771.0268116124041;48.0;763.6839754932513;30.0;745.9365599781997;46.0;1680.2222687134545;43.0;1666.9159685474287;55.0;1461.3996777930984;43.0;1424.0626441367817;100.0;2011.8519069507233;88.0;1974.781133846096;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.3;BN + TwoOpt;22.0;839.586667182991;10.0;826.301894953843;23.0;774.0848790697066;21.0;765.1628477223557;38.0;766.807672078936;28.0;746.6977240849544;57.0;1693.5945468294776;46.0;1658.4095062325184;51.0;1403.2076356664834;45.0;1349.4848281732377;116.0;1987.0040603143086;82.0;1967.133377438412;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.3;FBN + Relocation;13.0;828.3157823978585;11.0;801.3605796010364;27.0;778.9697577760759;21.0;773.2854425799958;39.0;782.5892054244581;29.0;751.6523690383452;50.0;1710.1523457479627;41.0;1675.8865955950512;46.0;1439.0745180496538;42.0;1392.5156952823943;92.0;1962.6875442056946;87.0;1929.568233867198;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.3;FBN + InterrouteSwap;12.0;840.0525880355497;10.0;791.8041216750123;29.0;776.918692025706;20.0;764.2415026682493;34.0;784.3547969746062;28.0;764.6355920384235;50.0;1689.1390260145145;45.0;1656.2332996204157;44.0;1415.6802558512547;44.0;1348.8582808785206;108.0;2015.8367019610057;82.0;1979.1547659231094;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.3;FBN + IntrarouteSwap;14.0;806.7066042127569;10.0;789.1162709942932;21.0;776.5322220385685;20.0;758.4979407241426;41.0;773.0015776219735;28.0;761.6112285782416;48.0;1706.8004181922965;41.0;1680.8703431568033;55.0;1460.114987064432;44.0;1413.760982188075;148.0;2015.9472842911903;91.0;1987.0526543102312;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.3;FBN + TwoOpt;14.0;820.3246624789683;12.0;787.8086948893184;33.0;778.6460710726577;20.0;772.9569572395886;35.0;761.851442315947;30.0;748.2422653914147;53.0;1684.2180165977807;52.0;1661.881140627787;48.0;1415.2221887178944;44.0;1375.0499955366436;94.0;1964.6417360151274;77.0;1924.7264008124696;
